value,high,52wklow,volume,low,52wkhigh,peratio,aveprice,symbol
96360.00,3.95,3.60,"25,000",3.69,5.30,11.98,3.8544,STR
406930.00,0.77,0.75,"533,000",0.76,1.20,256.67,0.76,VITA
9012.00,15.02,13.00,600,15.02,22.00,10.66,15.02,VVT
1800100.00,1.13,0.75,"1,623,000",1.10,4.20,"-1,100.00",1.11,VUL
197690.00,0.53,0.39,"373,000",0.53,0.83,3.35,0.53,WPI
2500.00,0.25,0.20,"10,000",0.25,0.335,22.936,0.25,WIN
94229630.00,29.75,14.26,"3,237,000",28.15,40.00,84.14,29.11,WLCON
0.00,0.00,0.53,0,0.00,0.55,-18.33,0.00,X
0.00,0.00,0.139,0,0.00,0.33,-947.368,0.00,ZHI
19832.00,7.40,6.02,"2,700",7.33,10.80,31.14,7.35,IPO
